type|plz|city|street|name|tel|fax|email|gebiete|website|href
kanzlei|24768|Rendsburg|Am Kreishafen 2|Rechtsanwalt Peter Bacher Notar a.D. Fachanwalt für Verwaltungsrecht|04331 - 5 89 80|04331 - 58 98 98|info@renord.de|Architektenrecht, Baurecht (öffentliches), Baurecht (privates), Erbrecht, Ingenieurrecht, Verwaltungsrecht|http://www.renord.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/peter_bacher_rendsburg
kanzlei|58507|Lüdenscheid|Rathausplatz 21-23|Rechtsanwalt Reinhard Riechert|02351 - 3 65 30|02351 - 36 53 99|info@bergfeldonline.de|Vergaberecht, Verwaltungsrecht|http://www.bergfeldonline.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/reinhard_riechert_luedenscheid
kanzlei|46539|Dinslaken|Lanterstr. 36|Kanzlei Hebisch & Hebisch|02064 - 48 67 67|02064 - 48 67 77|nh@rechtsanwalt-hebisch.de|Arbeitsrecht, Gesellschaftsrecht, Vertragsrecht, Forderungseinzug/Inkasso, Verkehrsrecht, Wohnungseigentumsrecht, Mietrecht|http://www.rechtsanwalt-hebisch.info|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/hebisch___hebisch_dinslaken
kanzlei|24937|Flensburg|Stuhrsallee 27|Rechtsanwalt Notar Arne Maltzan Fachanwalt für Verwaltungsrecht|0461 - 14 60 00|0461 - 1 46 00 99|info@stc-flensburg.de|Verwaltungsrecht, Baurecht (öffentliches), Baurecht (privates), Energierecht, Öffentliches Recht, Beamtenrecht, Verkehrsrecht, Medizinrecht|http://www.stc-flensburg.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/arne_maltzan_flensburg
kanzlei|46399|Bocholt|Westend 27|Rechtsanwältin Anita Kamperschrör|02871 - 27 89-0|02871 - 48 82 71|ihr-gutes-recht@t-online.de|Arbeitsrecht, Gesellschaftsrecht, Handelsrecht, Versicherungsrecht|http://www.ihr-gutes-recht-bocholt.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/anita_kamperschroer_bocholt
kanzlei|55232|Alzey|Galgenwiesenweg 23|Rechtsanwalt Klaus Hobohm Fachanwalt für Arbeitsrecht|06731 - 32 11|06731 - 4 21 47|alzey@kanzlei-hobohm.de|Arbeitsrecht, Handelsrecht, Gesellschaftsrecht|http://www.kanzlei-hobohm.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/klaus_hobohm_alzey
kanzlei|52062|Aachen|Theaterplatz 6-12|Rechtsanwältin Victoria Leibowitsch|0241 - 4 35 00 00|0241 - 43 50 00 10|info@kanzlei-am-dom.net|Urheberrecht, Mietrecht, Wohnungseigentumsrecht, Internetrecht, Zivilrecht|http://www.kanzlei-am-dom.net|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/victoria_leibowitsch_aachen
kanzlei|45711|Datteln|Tigg 5a|Rechtsanwältin Barbara Frisch|02363 - 23 50|02363 - 85 18|kanzlei@drhoelscher-frisch.de|Zivilrecht, Baurecht (privates), Architektenrecht, Vertragsrecht, Verbraucherrecht, Mietrecht|https://www.drhoelscher-frisch.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/barbara_frisch_datteln
kanzlei|47137|Duisburg|Von-der-Mark-Straße 9|Rechtsanwalt Matthias Stenke|0203 - 44 41 14|0203 - 44 51 74|kanzlei@ra-heckhoff.de||http://www.ra-heckhoff.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/matthias_stenke_duisburg
kanzlei|50829|Köln|Von-Hünefeld-Straße 12|Kanzlei Zemann|0221 - 9 53 50 20|0221 - 9 53 50 22|info@anwalt-zemann.de|Versicherungsrecht, Verkehrsrecht, Reiserecht, Speditionsrecht, Arbeitsrecht, Erbrecht, Mietrecht, Nachbarrecht, Verbraucherrecht, Vertragsrecht, Wohnungseigentumsrecht, Zivilrecht|http://www.anwalt-zemann.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/zemann_koeln
